,ser1,ser2,ser3,r5p1,r5p2,r5p3,r5p4,r5p5,IMP1,IMP2,IMP3,IMP4,IMP5,GMP1,GMP2,GMP3,GMP4,GMP5,INO1,INO2,INO3,INO4,INO5,GUO1,GUO2,GUO3,GUO4,GUO5,GDP1,GDP2,GDP3,GDP4,GDP5,AMP1,AMP2,AMP3,AMP4,AMP5
P4_70,8.425595634,3.952486227,7.593703416,4.122857232,5.609878327,5.720980131,2.612115826,4.143683072,4.443026045,5.143593868,5.134675804,2.363531647,3.747907648,3.537325125,4.551774953,4.516742763,2.108079052,3.416517513,3.296644294,4.318284333,4.350100487,1.984900721,3.123126169,3.980640232,5.171404014,5.355895699,2.421491985,3.899869492,2.427877263,3.137443952,3.055354618,1.458123358,2.207123007,3.288657383,3.793718768,3.812984619,1.773858582,2.769005156
P4_71,14.41471687,2.921641906,6.425568334,2.637414328,4.914097064,3.581860593,2.658541333,6.208067032,4.081059234,4.945438093,3.524624365,2.525622968,5.743451143,3.297860528,4.817056016,3.478952593,2.540210626,5.880914017,2.143997976,3.058720745,2.169399942,1.630814315,3.696631199,2.910632822,4.773396485,3.470152844,2.555654594,5.961352427,1.88201825,2.871077569,2.020600045,1.507312153,3.476268461,2.833600549,3.412125424,2.538008448,1.740636994,4.030187034
P4_72,14.04614401,3.5344036,4.910231403,2.361238631,5.016098686,3.287389915,2.623936073,5.510595377,3.101175188,3.991337314,2.52128542,2.056275152,4.139217118,2.506259499,4.335243037,2.856746733,2.276540976,4.831757351,1.53205079,2.921446672,1.708683609,1.620172799,3.014164105,2.39283916,4.472801433,2.979188499,2.357891617,5.044959329,1.451428452,2.689659517,1.693968983,1.419823051,2.768445823,1.804211914,2.218218074,1.446110988,1.194629603,2.434106232
P4_73,14.89079844,3.437810199,6.94345523,3.013408002,4.214487279,3.160216123,2.671136707,5.995212049,4.068250397,4.321735974,3.110573868,2.526209045,5.555903748,3.4887204,4.135997112,3.031132749,2.53022631,5.599435546,2.30786152,2.883767621,2.081641753,1.747276712,3.825505932,3.239066861,4.120121616,3.04496895,2.548194053,5.675088035,1.68311198,2.006218241,1.502314042,1.25367952,2.67791371,2.826493921,3.031311214,2.172084736,1.751935971,3.844171098
P4_74,11.15629223,4.227508385,6.856224221,2.113339862,4.893258793,3.133637073,2.277399311,5.527387292,2.837358681,4.973156126,3.14927394,2.237375282,5.289116064,2.315461782,4.495755762,2.935872984,2.066931654,4.921415987,1.588726019,2.991937518,1.89702914,1.37481077,3.199214236,2.216116979,4.768962068,3.039041722,2.206270284,5.338725129,1.46707129,2.803504122,1.68510309,1.32876052,3.040433345,2.154457965,3.710753835,2.521119845,1.653931551,3.924397567
P4_75,10.69294038,4.256465508,3.579269849,2.447245724,4.842546106,3.281789142,2.57341116,6.925629652,2.870511491,4.458950427,2.929134501,2.277037183,5.938641705,2.50243687,4.367236287,2.968006461,2.292188485,6.107188895,0.969684578,1.460595952,0.728082227,0.865756282,2.006163651,2.479222691,4.738425543,3.214063247,2.498507317,6.713569751,1.385259736,2.332111466,1.441210828,1.302743883,3.273821203,1.898222584,3.066159888,2.037986106,1.565721004,4.095908741
P4_76,11.58597326,3.936488753,2.498845435,1.360428867,4.728089859,3.937495795,1.915431115,5.847911375,2.012682419,3.523517416,2.723643379,1.496759948,4.195785707,1.488508652,4.217469137,3.495669065,1.713974478,5.234689569,0.824383123,2.876170555,2.353465235,1.123819726,3.413951133,1.412573465,4.436782822,3.718452562,1.80038116,5.54590285,0.96435493,3.35914043,2.765308724,1.337987943,4.159450945,1.103681008,1.791880415,1.370573311,0.833616299,2.294279885
P4_77,13.44386224,4.023036679,6.557141458,2.885401465,4.229671866,3.716090759,2.752178664,6.045836433,3.898478377,4.238004044,3.488901396,2.542372488,5.478764556,3.359359094,4.175915928,3.566261494,2.601917447,5.655982752,2.144011699,2.800083133,2.335196353,1.792882249,3.772156227,3.113271176,4.152390151,3.596768525,2.6386694,5.750437172,1.69883934,2.158295885,1.946103146,1.401256902,2.892130544,2.728276352,2.992611393,2.37925965,1.776546033,3.827837514
P4_78,13.16517065,3.76216122,5.880089094,2.483369939,4.855334508,3.939823513,2.254162868,5.152643303,4.514590783,5.270286146,4.008380469,2.2513189,4.8390116,3.59222857,4.54314452,3.533194814,2.010452451,4.397752492,2.460374505,3.282317383,2.587267097,1.430270759,3.146038663,2.713080479,4.778458836,3.842297374,2.189454712,4.96250348,1.944727858,2.560066745,1.856643101,1.149811479,2.547977868,2.966248794,3.565303952,2.669952689,1.490283745,3.293954078
P4_79,12.15963226,2.686100515,4.781428464,2.206336225,4.956474006,2.890887672,2.501306992,6.447197097,3.145153046,4.387013847,2.801411943,2.060374831,5.239460708,2.487840674,4.769863544,2.821886243,2.350891844,6.043159934,1.882926715,3.453027616,1.88941831,1.730465757,4.324787395,2.314522107,4.82825832,2.810990339,2.40703019,6.199251329,1.675506985,3.521084838,1.98622464,1.66565677,4.472340704,1.839471539,2.830834533,2.023482312,1.293687838,3.343344655
P4_80,8.045294014,3.424015061,5.44560506,1.566821488,6.2412977,3.510802028,1.882366072,6.121964887,2.195875194,6.066022003,3.379856574,1.796870253,5.718811805,1.57668329,5.68806111,3.253824921,1.734612054,5.729989917,1.320190147,4.2945455,2.396387561,1.276288118,4.022884657,1.582739826,6.077933389,3.379046524,1.839283436,5.958827466,1.226300839,4.993163428,2.70844339,1.480704974,5.069538652,1.676267919,4.512791865,2.561768119,1.342460219,4.211615466
P4_81,9.920893279,5.783753764,8.008721153,2.700518445,4.141015878,4.089482817,2.25478967,4.347664596,3.276499127,4.156160834,3.92292603,2.131262864,4.007139031,2.802932773,3.934483004,3.897424475,2.131878942,3.972482092,2.390067376,3.445342704,3.35432787,1.836222255,3.482989921,2.691770512,3.950239699,3.913331438,2.172845368,4.12753017,2.246776957,3.132174512,3.171123325,1.736359949,3.104237654,2.478398933,3.161988986,3.013614238,1.634049343,3.032591462
P4_82,11.26079188,3.628495975,4.776122189,2.68335791,4.674039136,3.006195059,2.517193104,6.69164746,3.573797569,3.718976347,2.392815327,1.931585137,4.694070402,2.982858395,4.380080794,2.791740827,2.319737482,6.03378156,1.67249239,2.561237852,1.422195576,1.468942527,3.537538937,2.814472354,4.519829411,2.883284636,2.402167027,6.344226454,1.639682287,2.542946863,1.562196759,1.363651785,3.524741911,1.832773383,1.989990449,1.375791811,1.084725697,2.639954616
P4_83,13.79411192,3.510715606,4.689613587,2.26700556,5.103175545,4.095454685,2.443985755,5.307562967,3.262872617,4.340485439,3.437117768,2.046983561,4.469930238,2.543270676,4.708838857,3.816364804,2.242920045,4.889546132,1.775682517,3.487209428,2.899679619,1.596975083,3.604332411,2.400893269,4.826870895,3.911373009,2.309627183,5.042273518,1.451181104,3.043326364,2.277654766,1.434436082,3.052753143,2.100088952,2.676525597,2.140580193,1.317748328,2.885874077
P4_84,13.14202975,3.798038434,7.530059212,2.667861549,4.584643479,3.935335954,2.267047896,4.207100135,3.55851769,4.474636968,3.719025153,2.109271003,3.830600084,2.911102402,4.2028414,3.572244831,2.057143291,3.777462979,2.425969898,3.495998629,2.924561975,1.668259257,3.015261738,2.670933227,4.253464218,3.659658767,2.123420497,3.905377382,1.95909519,2.897810853,2.463789401,1.422724812,2.491994417,2.701191325,3.350958212,2.825602204,1.601095182,2.908731929
P4_85,13.00847471,4.588989312,6.373940931,2.458324519,4.672783868,4.251209283,2.532612599,5.671394619,3.576504362,4.824636068,4.186800306,2.462214702,5.349372494,2.854482227,4.636158681,4.161580501,2.453556595,5.441933874,2.009264381,2.972202504,2.680660679,1.647021775,3.458404698,2.572271482,4.620127716,4.168241406,2.485364909,5.545282467,1.924144374,3.076798584,2.774789001,1.718782539,3.722265299,2.79019902,3.798629917,3.356388516,1.914657051,4.15311919
P4_86,15.59104885,3.465530003,3.734588415,1.943178343,5.868118586,4.347177285,2.469528339,4.411099214,2.592331062,3.619427715,2.3828361,1.664588649,2.835961137,1.95566245,4.211845362,2.97969266,1.884301226,3.323680953,1.359153162,3.310237652,2.111128421,1.546347066,2.534479877,1.80232388,4.506236479,3.297642566,2.005064407,3.558838384,1.313034379,2.952965628,1.889314741,1.348887708,2.22509796,1.417813983,1.928901588,1.338844068,0.929399997,1.664850748
P4_87,10.67209767,3.473808727,5.530020405,1.84341857,5.464246027,3.87228171,2.464843075,6.027185146,2.770849326,5.324537646,3.69922555,2.33174912,5.668255058,2.187778591,5.193851595,3.710285649,2.309014453,5.557559803,1.406798019,3.380096395,2.48391504,1.413729481,3.602067789,1.974756356,5.374891185,3.796341872,2.413749343,5.876254022,1.3566512,3.510320791,2.251202358,1.589067896,3.757831088,1.960280532,3.820855006,2.716632155,1.614366106,4.047596669
P4_88,12.33338812,3.971092484,3.625197196,1.699132844,5.037272639,3.123883254,2.590635037,4.533137491,2.873546344,4.46574434,2.642858552,2.115614631,3.495028926,2.082176999,4.446520914,2.690060345,2.215962071,3.771101529,1.52674146,3.322452407,2.005207815,1.725011296,2.879876452,1.683946861,4.697294524,2.923838471,2.413729661,4.23703067,1.531439238,3.463292887,1.962782132,1.740295182,2.875600673,1.87269307,3.02551677,1.739624338,1.399386075,2.217663092
P4_89,13.25609436,4.512961731,6.173338394,1.699334452,5.178575473,3.932435702,2.115703438,4.766847154,2.955313704,5.157072402,3.791741675,1.982532454,4.221095044,2.431374842,4.790708085,3.558076301,1.924251081,4.054610587,1.66486227,4.059199045,3.047063733,1.625967254,3.635271234,1.774956507,4.975648951,3.759543858,2.040686747,4.546715591,1.793859269,3.542482313,2.478188214,1.466455057,2.933421854,2.381479381,4.138264324,3.054641792,1.571937484,3.232058082
P4_90,11.53781917,4.250940828,4.8725008,2.326434303,5.265490146,4.543052166,2.73586359,5.481424425,3.024285252,4.368082017,3.712298979,2.144675212,4.203919458,2.370842135,4.377619464,3.785329792,2.266971891,4.464157879,1.77547781,3.563338757,2.900617822,1.890102459,3.579803544,2.259282894,4.64403291,4.073410515,2.448974903,4.883625685,1.568277148,3.127251633,2.637237307,1.623112106,3.070799703,1.823403823,2.596895062,2.235354311,1.298671565,2.552852139
